timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2008-01-02T00:00:00+00:00,GOLD,reject,Active-Guardian: Market is in Green Zone. No confluence factors detected for entry. Insufficient data for decisive action.,0.0,,,
2008-01-03T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. EMA20 and EMA50 alignment with bearish MACD crossover detected. Entry with tight protection.,0.75,EMA_alignment;MACD_crossover;RSI_oversold,indicator_crossover;trend_reversal,trend_following;mean_reversion
2008-01-04T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing short position due to current price movement against the trade and to adhere to the 1% risk management rule.,0.75,,,risk_management
2008-01-07T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. EMA20 and EMA50 alignment with RSI below 50 suggests potential mean reversion. 1% risk enforced.,0.65,EMA_alignment;RSI_undersold;Volatility_stable,support_bounce;mean_reversion,mean_reversion;trend_following
2008-01-08T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price 911.565 is close to entry price 912.1759788908033. Trend Strength Score is -0.12, indicating a weak trend. ATR14 is 28.511, suggesting moderate volatility. RSI14 is 44.39, which is neutral.",0.65,EMA_alignment;RSI_neutral;ATR_moderate,existing_position,trend_following;mean_reversion
2008-01-09T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position due to current price movement in favor of the trade and to adhere to the 1% risk management rule. Trend Strength Score is 0.20, indicating a weak trend. EMA alignment and RSI suggest a potential continuation of the current movement.",0.65,EMA_alignment;RSI_momentum,price_movement,trend_following
2008-01-10T00:00:00+00:00,GOLD,hold,Active-Guardian: Holding existing long position due to current price movement in favor of the trade and adherence to the 1% risk management rule. EMA alignment and MACD crossover support the hold decision.,0.65,EMA_alignment;MACD_crossover,trend_following,trend_following
2008-01-11T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position due to current price movement in favor of the trade and to adhere to the 1% risk management rule. Trend strength score is 0.61, indicating a moderate trend.",0.65,EMA_alignment;RSI_above_50;MACD_bullish_crossover,trend_following,trend_following
2008-01-14T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position due to bullish MACD crossover, EMA alignment, and current price movement in favor of the trade. Trend Strength Score is 0.65, indicating a moderate trend.",0.65,MACD_crossover;EMA_alignment;trend_strength,indicator_crossover,trend_following
2008-01-15T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price movement is in favor of the trade. Trend Strength Score is 0.88, indicating a strong trend. EMA alignment and MACD crossover are bullish.",0.65,EMA_alignment;MACD_crossover;Trend_Strength,trend_following,trend_following
2008-01-16T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and high RSI detected. Decisive long entry with tight protection.,0.82,MACD_crossover;RSI_high,indicator_crossover,trend_following
2008-01-17T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing long position due to current price movement against the trade and to adhere to the 1% risk management rule. Current price (1034.019) is below the entry price (1045.687).,0.82,,,risk_management
2008-01-18T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and RSI above 70 detected. Decisive entry with tight protection.,0.82,MACD_crossover;RSI_overbought,indicator_crossover,trend_following
2008-01-22T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (1047.085) is above the entry price (1032.794). Trend strength score is 1.61, indicating a strong uptrend. RSI14 is 78.77, suggesting overbought conditions, but MACD crossover is bullish.",0.82,EMA_crossover;MACD_bullish;trend_strength,indicator_crossover,trend_following
2008-01-23T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (1040.711) is above the entry price (1032.794). Trend strength score is 1.47, indicating a strong uptrend. EMA alignment and MACD crossover are bullish.",0.82,EMA_alignment;MACD_crossover;Trend_strength,price_movement;trend_following,trend_following;mean_reversion
2008-01-24T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Current long position is profitable. Holding to target profit at 1100.0, with stop loss at 1000.0.",0.82,EMA_alignment;RSI_bullish;MACD_crossover,trend_following,trend_following
2008-01-25T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (1083.595) is above the entry price (1032.794). Trend strength score is 1.40, indicating a strong uptrend. EMA alignment and MACD crossover are bullish.",0.82,EMA_alignment;MACD_crossover;trend_strength,price_breakout;indicator_crossover,trend_following;mean_reversion
2008-01-28T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (1086.912) is above the entry price (1032.794). Trend strength score is 1.37, indicating a strong uptrend. RSI (81.50) is in overbought territory, but MACD crossover is bullish.",0.82,EMA_alignment;MACD_crossover;Trend_strength,price_breakout;indicator_crossover,trend_following;momentum_trading
2008-01-29T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (1090.149) is above the entry price (1032.794). Trend strength score is 1.32, indicating a strong uptrend. RSI14 is 81.85, suggesting overbought conditions, but the MACD crossover is bullish.",0.82,EMA_crossover;MACD_bullish;Trend_strength,indicator_crossover;trend_following,trend_following;mean_reversion
2008-01-30T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and high RSI indicate potential for continued upward movement.,0.82,MACD_crossover;RSI_high,indicator_crossover,trend_following
2008-01-31T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI oversold detected. Decisive long entry with tight protection.,0.82,EMA_alignment;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2008-02-01T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing long position due to current price movement against the trade and to adhere to the 1% risk management rule. Current price (807.666) is below the entry price (815.212).,0.82,,stop_loss,risk_management
2008-02-04T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. 1% risk enforced. RSI (28.30) indicates oversold condition, and price is near historical support. EMA20 and EMA50 alignment suggests potential for mean reversion.",0.82,RSI_oversold;support_bounce;EMA_alignment,indicator_crossover;support_bounce,mean_reversion;trend_following
2008-02-05T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing long position due to current price movement against the trade and to adhere to the 1% risk management rule. Current price (802.393) is below the entry price (808.455).,0.82,,,risk_management
2008-02-06T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. RSI14=28.31 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential for mean reversion. Entry justified by 1% risk management rule and confluence of EMA alignment and RSI oversold condition.,0.82,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2008-02-07T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing long position due to current price movement against the trade and to adhere to the 1% risk management rule. Current price (792.804) is below the entry price (807.1489).,0.82,,,risk_management
2008-02-08T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. 1% risk enforced. RSI14=24.94 indicates oversold condition, and price is near historical support. EMA20 and EMA50 alignment suggests potential for mean reversion.",0.82,RSI_oversold;support_bounce;EMA_alignment,indicator_crossover;support_bounce,mean_reversion;trend_following
2008-02-11T00:00:00+00:00,GOLD,close,Active-Guardian: Closing existing long position due to current price movement against the trade and to adhere to the 1% risk management rule. Current price (744.491) is below the entry price (767.695).,0.82,,,risk_management
2008-02-12T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. RSI14=28.03 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential reversal. Entry with tight protection to maximize trade frequency while limiting downside risk.,0.82,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2008-02-13T00:00:00+00:00,GOLD,close,"Active-Guardian: Closing existing long position due to current price movement and to adhere to the 1% risk management rule. Current price (787.917) is above the entry price (767.247) but the trend strength score is -0.04, indicating a weak trend.",0.75,,,risk_management
2008-02-14T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI 49.53 suggest a potential long entry with tight protection.,0.82,EMA_alignment;RSI_mean_reversion,indicator_crossover,trend_following;mean_reversion
2008-02-15T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding existing long position. Current price (886.753) is near the entry price (886.1207). Trend strength score is 0.27, indicating a weak trend. ATR-based stop loss in place.",0.82,EMA_alignment;RSI_momentum,trend_following,trend_following
2008-02-19T00:00:00+00:00,GOLD,reject,"Active-Guardian: Current price (841.567) is below recent highs and the trend strength score is 0.26, indicating a weak trend. RSI (44.35) is not in oversold territory. MACD crossover is bearish. Rejecting entry due to lack of confluence and recent losing streak.",0.4,,,trend_following;mean_reversion
