timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2008-01-02T00:00:00+00:00,AAPL,reject,"No clear trend or confluence detected. Volatility Ratio is 1.00, indicating a neutral market state.",0.0,,,
2008-01-04T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bearish MACD crossover and low RSI detected. Decisive short entry with tight protection.,0.75,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2008-01-07T00:00:00+00:00,AAPL,hold,"Active-Guardian: Holding short position in AAPL. Current price 6.34, close to profit target. Trend Strength Score is -0.09, indicating a bearish trend.",0.75,EMA_alignment;MACD_crossover;RSI_oversold,indicator_crossover;trend_following,trend_following;mean_reversion
2008-01-08T00:00:00+00:00,AAPL,hold,"Active-Guardian: Market is in Green Zone. Holding short position with tight protection. Trend Strength Score is -0.76, indicating a bearish trend.",0.75,EMA_alignment;MACD_crossover;Trend_Strength,indicator_crossover,trend_following
2008-01-09T00:00:00+00:00,AAPL,hold,"Active-Guardian: Holding short position in AAPL. Current price 6.41, close to entry price 6.400877. Trend Strength Score -0.43 indicates bearish trend. EMA20 and EMA50 are above current price, supporting short position.",0.75,bearish_trend;EMA_alignment,short_entry,trend_following
2008-01-10T00:00:00+00:00,AAPL,hold,"Active-Guardian: Market is in Green Zone. Holding short position with tight protection. EMA20 and EMA50 are above the current price, and RSI14 is oversold, indicating potential for further downward movement.",0.75,EMA_alignment;RSI_oversold,trend_following,trend_following
2008-01-11T00:00:00+00:00,AAPL,hold,Active-Guardian: Market is in Green Zone. Holding short position with tight protection. EMA alignment and MACD crossover support the short side.,0.75,EMA_alignment;MACD_crossover,trend_following,trend_following
2008-01-14T00:00:00+00:00,AAPL,hold,Active-Guardian: Market is in Green Zone. Holding short position with tight stop loss. EMA20 and EMA50 alignment suggests bearish trend continuation.,0.75,EMA_alignment;RSI_bearish;MACD_crossover,indicator_crossover;trend_continuation,trend_following;mean_reversion
2008-01-15T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI oversold detected. Decisive long entry with tight protection.,0.82,EMA_alignment;RSI_oversold,indicator_crossover,mean_reversion;trend_following
2008-01-16T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. RSI14=22.25 indicates oversold conditions. EMA20 and EMA50 alignment suggests potential for mean reversion.,0.82,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2008-01-17T00:00:00+00:00,AAPL,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight stop loss. EMA20 and EMA50 alignment, RSI below 30, and MACD bearish crossover detected.",0.82,EMA_alignment;RSI_oversold;MACD_crossover,indicator_crossover;support_bounce,trend_following;mean_reversion
2008-01-18T00:00:00+00:00,AAPL,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight stop loss. EMA20 and EMA50 alignment, RSI below 30, and MACD crossover detected.",0.82,EMA_alignment;RSI_oversold;MACD_crossover,indicator_crossover;support_bounce,trend_following;mean_reversion
