timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2020-01-02T00:00:00+00:00,GOLD,reject,No clear entry signal due to lack of confluence factors and neutral market indicators.,0.0,,,
2020-01-06T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Decisive entry with tight protection.,0.75,MACD_crossover;EMA_alignment,indicator_crossover,trend_following
2020-01-07T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and MACD crossover support the trend.,0.75,EMA_alignment;MACD_crossover,trend_following,trend_following
2020-01-08T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Decisive entry with tight protection.,0.85,EMA_crossover;MACD_bullish;RSI_momentum,indicator_crossover;trend_alignment,trend_following;momentum_trading
2020-01-09T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight protection. Trend Strength Score is 0.73, indicating a moderate trend. MACD crossover is bullish, and RSI is at 48.48, suggesting potential for further upside.",0.85,MACD_crossover;Trend_Strength,indicator_crossover,trend_following
2020-01-10T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Active mode. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Holding long position with tight protection.,0.85,EMA_alignment;MACD_crossover;bullish_trend,indicator_crossover,trend_following
2020-01-13T00:00:00+00:00,GOLD,close,Active-Guardian: Market is in Green Zone. Current price 1550.6 is below entry price 1560.2. Closing to limit losses and re-evaluate.,0.85,EMA_alignment;RSI_momentum,price_rejection,trend_following;mean_reversion
2020-01-27T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Bullish MACD crossover, RSI=66.78, and EMA alignment support long entry.",0.8,MACD_crossover;RSI_bullish;EMA_alignment,indicator_crossover;trend_following,trend_following;mean_reversion
2020-01-28T00:00:00+00:00,GOLD,close,Active-Guardian: Market is in Green Zone. Current price 1569.8 is below entry price 1577.4. Closing to limit losses and re-evaluate.,0.8,EMA_alignment;RSI_bullish;MACD_crossover,indicator_crossover;support_bounce,trend_following;mean_reversion
2020-01-30T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI=68.39 indicate strong trend. EMA alignment supports long entry.,0.82,MACD_crossover;RSI_bullish;EMA_alignment,indicator_crossover;trend_strength,trend_following;momentum
2020-01-31T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding current long position with tight stop loss due to bullish MACD crossover and EMA alignment.,0.82,EMA_alignment;MACD_crossover;RSI_bullish,indicator_crossover,trend_following
2020-02-03T00:00:00+00:00,GOLD,close,Active-Guardian: Market is in Green Zone. Current price 1579.5 is below entry price 1586.5. Closing to limit losses and re-evaluate.,0.82,EMA_alignment;RSI_momentum,price_rejection,trend_following;mean_reversion
2020-02-04T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Bullish MACD crossover and EMA alignment. RSI is 43.33, indicating potential for upside.",0.8,MACD_crossover;EMA_alignment;RSI_bullish,indicator_crossover;trend_alignment,trend_following;mean_reversion
2020-02-05T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Current price 1560.1 is above entry price 1552.7. Holding to target profit.,0.8,EMA_alignment;RSI_momentum;price_above_ema50,price_breakout;ema_crossover,trend_following;mean_reversion
2020-02-06T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding current long position with tight protection. EMA20 and EMA50 alignment, RSI at 51.93, and MACD crossover detected.",0.8,,,
2020-02-07T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA20 and EMA50 alignment, RSI above 50, and MACD histogram momentum shift support the hold decision.",0.8,EMA_alignment;RSI_above_50;MACD_momentum_shift,indicator_alignment;trend_following,trend_following;mean_reversion
2020-02-10T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and RSI level support the current trend.,0.8,EMA_alignment;RSI_level,trend_following,trend_following
2020-02-11T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding current long position with tight stop loss. EMA20 and EMA50 alignment, RSI within range, and MACD histogram momentum shift support the hold decision.",0.8,EMA_alignment;RSI_range;MACD_momentum,trend_following,trend_following
2020-02-12T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding current long position with tight stop loss. EMA alignment and RSI level support the hold decision.,0.8,EMA_alignment;RSI_level,trend_following,trend_following
2020-02-13T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight stop loss due to recent price movement and EMA alignment.,0.8,EMA_alignment;RSI_momentum;price_support,price_breakout;indicator_crossover,trend_following;mean_reversion
2020-02-17T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Bullish MACD crossover, RSI=67.52, and price above EMA20=1572.822. Entry with tight protection.",0.82,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_continuation,trend_following;momentum_trading
2020-02-18T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI above 50. EMA20 and EMA50 alignment supports long entry.,0.8,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_alignment,trend_following;mean_reversion
2020-02-19T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Current price 1608.8 is above entry price 1601.0. Holding to target profit.,0.8,EMA_alignment;RSI_bullish;MACD_crossover,price_breakout;trend_following,trend_following;mean_reversion
2020-02-20T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI above 50 indicate upward momentum. EMA20 and EMA50 alignment supports long entry.,0.8,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_continuation,trend_following;momentum_trading
2020-02-21T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight stop loss. Trend strength score is 1.76, indicating a strong uptrend. RSI is at 77.76, which is overbought, but MACD crossover is bullish.",0.8,EMA_alignment;MACD_crossover;Trend_strength,indicator_crossover;trend_following,trend_following;momentum_trading
2020-02-24T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Bullish MACD crossover, RSI above 50, and price above EMA20. Entry with tight protection.",0.8,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_continuation,trend_following;mean_reversion
2020-02-25T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI above 50. EMA20 and EMA50 alignment supports long entry.,0.82,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_alignment,trend_following;mean_reversion
2020-02-26T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Current price 1640.4 is above entry price 1647.0. Holding to target profit.,0.82,EMA_alignment;MACD_bullish;Trend_strength,price_rejection;indicator_crossover,trend_following;mean_reversion
