timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2022-01-03T00:00:00+00:00,GOLD,reject,Active-Guardian: Market is in Green Zone. No confluence factors detected for entry. Waiting for 2+ factors to align.,0.0,,,
2022-01-04T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Active mode. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Decisive entry with tight protection.,0.8,MACD_crossover;EMA_alignment,indicator_crossover,trend_following
2022-01-05T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and MACD crossover support the trend.,0.8,EMA_alignment;MACD_crossover,trend_following,trend_following
2022-01-06T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight stop loss. Trend Strength Score is 0.37, indicating a moderate trend. MACD crossover is bullish.",0.8,MACD_crossover;EMA_alignment,trend_following,trend_following
2022-01-07T00:00:00+00:00,GOLD,close,Active-Guardian: Current price 1797.4 is below entry price 1818.15. Unrealized PnL is -5.44. Closing the position to limit further losses.,0.8,price_below_entry,stop_loss,risk_management
2022-01-12T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI above 50 detected. EMA alignment is bullish. Entry with tight protection.,0.82,MACD_crossover;RSI_above_50;EMA_alignment,indicator_crossover;trend_following,trend_following;mean_reversion
2022-01-13T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding the current long position. Price 1821.4 is above the initial stop 1790.0. Trend strength score is 1.17, indicating a moderate uptrend. MACD crossover is bullish, and RSI is at 60.87, suggesting potential for further upside.",0.82,MACD_crossover;RSI_moderate;Trend_strength,indicator_crossover,trend_following
2022-01-14T00:00:00+00:00,GOLD,close,Active-Guardian: Current price 1816.5 is below entry price 1830.399. Unrealized PnL is -3.42. Closing the position to limit further losses.,0.0,,,risk_management
2022-01-19T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and RSI=68.65 indicate a potential uptrend continuation. EMA alignment supports the long side.,0.82,MACD_crossover;RSI_bullish;EMA_alignment,indicator_crossover;trend_continuation,trend_following;mean_reversion
2022-01-20T00:00:00+00:00,GOLD,hold,"Active-Guardian: Holding the current long position in GOLD as the market is in the Green Zone (Volatility Ratio: 0.78) and the trend strength score is 1.26, indicating a bullish trend. The current price is 1842.6, which is close to the entry price of 1846.0538. The unrealized PnL is -0.61, and the position size is 0.1764. The stop loss is set at 1790.0, and the profit target is 1900.0.",0.82,EMA_alignment;MACD_crossover;Trend_strength,price_rejection;indicator_crossover,trend_following;mean_reversion
