timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2022-01-03T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA alignment and low volatility detected. Decisive entry with tight protection.,0.75,EMA_alignment;low_volatility,support_bounce,trend_following;mean_reversion
2022-01-04T00:00:00+00:00,AAPL,close,"Active-Guardian: Closing due to unrealized loss and bearish MACD crossover. Trend Strength Score is -0.14, indicating a weak trend.",0.75,MACD_crossover;unrealized_loss,stop_loss_trigger,trend_following;risk_management
2022-01-05T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to bearish MACD crossover, low RSI, and current losing streak. Trend Strength Score is -0.12, indicating a weak trend.",0.0,,,trend_following;mean_reversion
2022-01-06T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to bearish MACD crossover, low RSI, and weak trend strength score (-0.09). Current market state is volatile, and recent trade outcome was a loss.",0.0,,,trend_following;mean_reversion
2022-01-07T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in a bearish trend with a Trend Strength Score of -0.82. Recent trade outcome was a loss, and the current market sentiment does not support an entry. Volatility Ratio is 1.06, indicating a Green Zone, but the overall analysis suggests a cautious approach.",0.0,,,trend_following;mean_reversion
2022-01-10T00:00:00+00:00,AAPL,reject,"Active-Guardian: Current market state indicates a bearish MACD crossover and low RSI. Trend Strength Score is -0.38, suggesting a weak trend. Recent trade outcome was a loss, and the strategy is being exploited. Rejecting entry to avoid further losses.",0.2,,,trend_following;risk_management
2022-01-11T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 alignment and RSI14=29.47 detected. Decisive entry with tight protection.,0.8,EMA_alignment;RSI_oversold,support_bounce,mean_reversion;trend_following
2022-01-12T00:00:00+00:00,AAPL,close,"Active-Guardian: Closing due to unrealized loss and bearish MACD crossover. Trend Strength Score is -0.46, indicating a weak trend.",0.4,MACD_crossover;RSI_oversold,indicator_crossover,trend_following
2022-01-13T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting entry due to bearish MACD crossover, low RSI, and recent losing streak. Trend Strength Score is -0.52, indicating a weak trend.",0.2,,,trend_following;mean_reversion
2022-01-14T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to bearish MACD crossover, low RSI, and recent losses. Trend Strength Score is -0.32, indicating a weak trend.",0.4,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2022-01-19T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to current bearish MACD crossover, weak trend strength score (-0.11), and recent losing streak. Volatility Zone is ACTIVE but trend indicators suggest caution.",0.0,,,trend_following;risk_management
2022-01-20T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.05, indicating a weak trend.",0.0,,,risk_management;trend_following
2022-01-21T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in ACTIVE (Green Zone) mode. 1% risk enforced. Bullish MACD crossover and EMA20/50 alignment detected. Decisive entry with tight protection.,0.8,MACD_crossover;EMA_alignment,indicator_crossover,trend_following
2022-01-24T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.20, indicating a weak trend. Volatility Ratio is 1.16, but the current market sentiment and recent trade outcomes suggest caution.",0.0,,,risk_management;trend_following
2022-01-25T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.19, indicating a weak trend.",0.2,,,trend_following;risk_management
2022-01-26T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.10, indicating a weak trend.",0.2,,,risk_management;trend_following
2022-01-27T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.01, indicating a weak trend.",0.0,,,risk_management;trend_following
2022-01-28T00:00:00+00:00,AAPL,reject,"Active-Guardian: Current market state indicates a bearish MACD crossover and low Trend Strength Score, suggesting a weak trend. Recent trade outcomes show a losing streak, advising caution and selectivity. Volatility Ratio is in the ACTIVE zone, but given the current market conditions and recent losses, it's prudent to REJECT entries and reassess strategy.",0.2,,,trend_following;risk_management
2022-01-31T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losing streak and weak trend strength (Trend Strength Score: 0.28). Volatility Ratio is 1.12, indicating a Green Zone, but cautious approach is warranted given market conditions and strategy performance.",0.0,,,risk_management;trend_evaluation
2022-02-01T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to bearish MACD crossover, low RSI, and recent losses. Trend Strength Score is -0.01, indicating a weak trend. Volatility Ratio (VR) is 1.21, which is in the ACTIVE zone, but given the current market conditions and recent losses, it's prudent to be cautious.",0.2,,,trend_following;risk_management
2022-02-03T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is -0.08, indicating a weak trend.",0.2,,,risk_management;trend_following
2022-02-04T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.03, indicating a weak trend.",0.0,,,risk_management;trend_following
2022-02-07T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losing streak, bearish MACD crossover, and low Trend Strength Score. Volatility Ratio is 1.15, indicating a high-frequency environment, but risk management dictates caution.",0.0,,,risk_management;trend_analysis
2022-02-08T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is 0.16, indicating a weak trend.",0.0,,,risk_management;trend_following
2022-02-09T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losing streak and lack of strong confluence factors. Trend Strength Score is 0.36, indicating a weak trend. Volatility Ratio is 1.11, but recent losses suggest being more selective.",0.0,,,risk_management;trend_evaluation
2022-02-10T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and lack of strong trend indicators. Trend Strength Score is 0.57, which is not strong enough to enter a new position. Recent Win Rate is 0.0%, indicating a need for caution.",0.0,,,risk_management;trend_analysis
2022-02-17T00:00:00+00:00,AAPL,reject,"Active-Guardian: Current market conditions and recent losses suggest a cautious approach. Volatility Ratio is 1.04, indicating a Green Zone, but the Trend Strength Score of 0.54 and recent losses advise against entry.",0.2,,,risk_management;caution
2022-02-23T00:00:00+00:00,AAPL,reject,"Active-Guardian: Current market conditions and recent losses suggest a cautious approach. Volatility Ratio is 1.06, indicating an ACTIVE zone, but the Trend Strength Score of 0.31 and recent losses indicate a need for selectivity. Rejecting entry to avoid further losses and re-evaluate strategy.",0.2,,,risk_management;trend_following
2022-02-24T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in a bearish trend with a Trend Strength Score of -0.07. Recent trades have resulted in losses, and the current volatility zone is ACTIVE, but the risk of further losses outweighs potential gains. Rejecting entry to avoid further drawdown.",0.2,,,trend_following;risk_management
2022-02-25T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is -0.43, indicating a weak trend.",0.0,,,risk_management;trend_following
2022-02-28T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is -0.37, indicating a weak trend.",0.2,,,trend_following;risk_management
2022-03-01T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and bearish MACD crossover. Trend Strength Score is -0.17, indicating a weak trend.",0.2,,,risk_management;trend_following
2022-03-02T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losing streak and high RSI14=71.58, indicating potential overbought conditions. Trend Strength Score is 1.20, but MACD is bearish, suggesting a potential reversal.",0.2,,,trend_following;mean_reversion
2022-03-03T00:00:00+00:00,AAPL,reject,"Active-Guardian: Current market conditions and recent losses suggest a cautious approach. Volatility Ratio (VR) is 1.46, indicating an ACTIVE (Green Zone) state, but the recent losing streak and low win rate advise against entering a new position at this time.",0.0,,,risk_management;market_sentiment
2022-03-04T00:00:00+00:00,AAPL,reject,"Active-Guardian: Rejecting due to recent losses and lack of strong confluence. Trend Strength Score is 1.46, but recent trade outcomes indicate a need for caution.",0.2,,,risk_management;caution
