timestamp,coin,action,side,quantity,price,profit_target,stop_loss,leverage,confidence,pnl,balance_after,reason,confluence_tags,trigger_tags,reasoning_categories
2008-01-02T00:00:00+00:00,AAPL,ENTRY,long,21.383238961972054,6.967656,7.5,6.5,5.0,0.8,0,970.1608168097918,Active-Guardian: Market is in Active mode. 1% risk enforced. EMA alignment and low volatility detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.04,EMA_alignment;low_volatility,price_rejection,trend_following;mean_reversion
2008-01-04T00:00:00+00:00,AAPL,CLOSE,long,21.383238961972054,6.49285,0,0,5.0,0,-10.232043193073546,989.7269842672819,"Stop loss hit | TYPE A Phase 1 | Closed 21.3832, Remaining 0.0000 | Gross: $-10.15 | Fees: $0.08",,,
2008-01-09T00:00:00+00:00,AAPL,ENTRY,long,25.552188212922875,6.417051,6.62,6.03,5.0,0.82,0,956.8879536163928,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 rejection and RSI oversold detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.05,EMA_rejection;RSI_oversold,indicator_crossover,mean_reversion
2008-01-10T00:00:00+00:00,AAPL,CLOSE,long,25.552188212922875,6.353004,0,0,5.0,0,-1.726274281906638,987.9556183192711,"Active-Guardian: Current position is in loss. Recent trade outcome was a loss. Closing the position to limit further losses and re-evaluate market conditions. | TYPE A Phase 1 | Closed 25.5522, Remaining 0.0000 | Gross: $-1.64 | Fees: $0.09",,,risk_management
2008-01-18T00:00:00+00:00,AAPL,ENTRY,long,31.23261342370141,5.766336,6.38,5.45,3.0,0.82,0,927.8735103868448,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 rejection and RSI oversold detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.05,EMA_rejection;RSI_oversold,indicator_crossover,mean_reversion
2008-01-22T00:00:00+00:00,AAPL,CLOSE,long,31.23261342370141,5.444005000000001,0,0,3.0,0,-10.163524785345315,977.7425666545571,"Stop loss hit | TYPE A Phase 1 | Closed 31.2326, Remaining 0.0000 | Gross: $-10.07 | Fees: $0.10",,,
2008-02-08T00:00:00+00:00,AAPL,ENTRY,short,30.098975773094438,4.475072000000001,4.0,4.8,5.0,0.8,0,950.766508764366,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA20/50 bearish alignment and RSI14=23.78 detected. Decisive short entry with tight protection. | TYPE A Phase 1 | Fees: $0.04,EMA_alignment;RSI_oversold,bearish_crossover,trend_following;mean_reversion
2008-02-11T00:00:00+00:00,AAPL,CLOSE,short,30.098975773094438,4.625082,0,0,5.0,0,-4.590471317285663,973.1150541892509,"Active-Guardian: Current position is in loss and recent trade outcomes were losses. Closing the position to limit further losses and re-evaluate market conditions. | TYPE A Phase 1 | Closed 30.0990, Remaining 0.0000 | Gross: $-4.52 | Fees: $0.08",,,risk_management
2008-02-12T00:00:00+00:00,AAPL,ENTRY,long,26.664401243059828,4.464906,5.2,4.1,3.0,0.6,0,933.397632628001,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and RSI below 30 detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.03,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2008-02-14T00:00:00+00:00,AAPL,CLOSE,long,26.664401243059828,4.544995,0,0,3.0,0,2.0694582369137526,975.1517725637632,"Active-Guardian: Current position is in a minor profit but recent trade outcomes were losses. Closing the position to limit further potential losses and re-evaluate market conditions due to low confidence and the current market volatility zone being ACTIVE but with a low win rate. | TYPE A Phase 1 | Closed 26.6644, Remaining 0.0000 | Gross: $2.14 | Fees: $0.07",,stop_loss_adjustment,risk_management;trade_adjustment
2008-02-15T00:00:00+00:00,AAPL,ENTRY,long,38.25104454775491,4.4548950000000005,5.0,4.2,5.0,0.8,0,941.0240339371965,Active-Guardian: Market is in ACTIVE zone. 1% risk enforced. Bullish MACD crossover and RSI below 30 detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.05,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2008-02-19T00:00:00+00:00,AAPL,CLOSE,long,38.25104454775491,4.3552040000000005,0,0,5.0,0,-3.9059586415729948,971.1989527157376,"Active-Guardian: Current position is in loss and recent trade outcomes were losses. Closing the position to limit further losses and re-evaluate market conditions due to low confidence and the current market volatility zone being ACTIVE but with a low win rate. | TYPE A Phase 1 | Closed 38.2510, Remaining 0.0000 | Gross: $-3.81 | Fees: $0.09",,stop_loss_hit,risk_management;loss_limitation
2008-02-20T00:00:00+00:00,AAPL,ENTRY,long,39.65498934093498,4.424861999999999,4.62,4.18,5.0,0.68,0,936.0571279664686,"Active-Guardian: Market is in ACTIVE zone. 1% risk enforced. EMA20/50 alignment and RSI=31.53 suggest potential reversal. Recent losses indicate caution, but current price and indicators suggest a potential long entry. | TYPE A Phase 1 | Fees: $0.05",EMA_alignment;RSI_oversold;MACD_crossover,indicator_crossover;support_bounce,trend_following;mean_reversion
2008-02-21T00:00:00+00:00,AAPL,CLOSE,long,39.65498934093498,4.335226,0,0,5.0,0,-3.650044453537087,967.5006546019531,"Active-Guardian: Current position is in loss and recent trade outcomes were losses. Closing the position to limit further losses and re-evaluate market conditions due to low confidence and the current market volatility zone being ACTIVE but with a low win rate. | TYPE A Phase 1 | Closed 39.6550, Remaining 0.0000 | Gross: $-3.55 | Fees: $0.10",loss_streak;low_confidence;active_volatility,stop_loss_hit;recent_losses,risk_management;loss_aversion;market_adaptation
2008-02-22T00:00:00+00:00,AAPL,ENTRY,long,38.00594431815056,4.274697,4.62,4.02,5.0,0.65,0,934.9631977987164,Active-Guardian: Market is in ACTIVE zone. 1% risk enforced. Bullish MACD crossover and RSI below 30 detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.04,MACD_crossover;RSI_oversold,indicator_crossover,trend_following;mean_reversion
2008-02-25T00:00:00+00:00,AAPL,CLOSE,long,38.00594431815056,4.275292,0,0,5.0,0,-0.0667478247407488,967.3892292057686,"Active-Guardian: Current position is in a minor profit but recent trade outcomes were losses. Closing the position to limit further potential losses and re-evaluate market conditions due to low confidence and the current market volatility zone being ACTIVE but with a low win rate. | TYPE A Phase 1 | Closed 38.0059, Remaining 0.0000 | Gross: $0.02 | Fees: $0.09",,,risk_management;position_sizing
2008-03-25T00:00:00+00:00,AAPL,ENTRY,long,22.202680393908135,5.035533,5.5,4.6,3.0,0.6,0,930.0910402944112,"Active-Guardian: Market is in ACTIVE zone. EMA20/50 alignment and MACD crossover detected. Recent losses suggest caution, but volatility ratio indicates potential for high frequency trades. | TYPE A Phase 1 | Fees: $0.03",EMA_alignment;MACD_crossover,indicator_crossover,trend_following
2008-03-26T00:00:00+00:00,AAPL,CLOSE,long,22.202680393908135,5.174302,0,0,3.0,0,3.018705187152863,970.3771887522232,"Active-Guardian: Current position is in a minor profit but recent trade outcomes were losses. Closing the position to limit further potential losses and re-evaluate market conditions due to low confidence and the current market volatility zone being ACTIVE but with a low win rate. | TYPE A Phase 1 | Closed 22.2027, Remaining 0.0000 | Gross: $3.08 | Fees: $0.06",,,risk_management;trade_management
2008-04-01T00:00:00+00:00,AAPL,ENTRY,long,42.944296377626436,5.345874,5.59,5.12,5.0,0.62,0,924.3990961922341,Active-Guardian: Market is in ACTIVE mode. 1% risk enforced. EMA20/50 rejection and RSI below 70 detected. Decisive entry with tight protection. | TYPE A Phase 1 | Fees: $0.06,EMA_rejection;RSI_below_70,indicator_crossover,trend_following;mean_reversion
